This is the header for the file.
-------------------
dx | dy  is  80 46 toIndex | u_value | v_value are 9176 55.21422 14.25214
dx | dy  is  81 46 toIndex | u_value | v_value are 9182 56.54712 14.25996
dx | dy  is  82 46 toIndex | u_value | v_value are 9188 57.87987 14.26779
dx | dy  is  83 46 toIndex | u_value | v_value are 9195 59.21245 14.27562
dx | dy  is  84 46 toIndex | u_value | v_value are 9201 60.54487 14.28345
dx | dy  is  85 46 toIndex | u_value | v_value are 9207 61.87714 14.29128
dx | dy  is  86 46 toIndex | u_value | v_value are 9214 63.20924 14.2991
dx | dy  is  87 46 toIndex | u_value | v_value are 9220 64.54118 14.30692
dx | dy  is  88 46 toIndex | u_value | v_value are 9226 65.87296 14.31475
dx | dy  is  89 46 toIndex | u_value | v_value are 9233 67.20458 14.32257
dx | dy  is  90 46 toIndex | u_value | v_value are 9239 68.53605 14.33039
dx | dy  is  91 46 toIndex | u_value | v_value are 9245 69.86736 14.33821
dx | dy  is  92 46 toIndex | u_value | v_value are 9252 71.19849 14.34603
dx | dy  is  93 46 toIndex | u_value | v_value are 9258 72.52948 14.35385
dx | dy  is  94 46 toIndex | u_value | v_value are 9264 73.86031 14.36167
dx | dy  is  95 46 toIndex | u_value | v_value are 9271 75.19096 14.36948
dx | dy  is  96 46 toIndex | u_value | v_value are 9277 76.52147 14.3773
dx | dy  is  97 46 toIndex | u_value | v_value are 9283 77.85181 14.38511
dx | dy  is  98 46 toIndex | u_value | v_value are 9290 79.182 14.39293
dx | dy  is  99 46 toIndex | u_value | v_value are 9296 80.51203 14.40074
dx | dy  is  100 46 toIndex | u_value | v_value are 9302 81.8419 14.40855
dx | dy  is  101 46 toIndex | u_value | v_value are 9309 83.1716 14.41636
dx | dy  is  102 46 toIndex | u_value | v_value are 9315 84.50115 14.42417
dx | dy  is  103 46 toIndex | u_value | v_value are 9321 85.83054 14.43198
dx | dy  is  104 46 toIndex | u_value | v_value are 9328 87.15977 14.43979
dx | dy  is  105 46 toIndex | u_value | v_value are 9334 88.48883 14.4476
dx | dy  is  106 46 toIndex | u_value | v_value are 9340 89.81774 14.45541
dx | dy  is  107 46 toIndex | u_value | v_value are 9347 91.14649 14.46321
